EntrezID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Symbols,Name
24147,2.2055,1.1237,6.7707,5.8741e-08,2.1398e-05,8.2742,FJX1,four-jointed box kinase 1
23228,-1.7617,4.3954,-6.7693,5.9001e-08,2.1398e-05,8.27,PLCL2,phospholipase C like 2
6817,-1.8352,5.9895,-6.7548,6.1692e-08,2.1398e-05,8.2276,SULT1A1,sulfotransferase family 1A member 1
1836,-3.4863,9.1984,-6.7526,6.211e-08,2.1398e-05,8.2211,SLC26A2,solute carrier family 26 member 2
10351,-2.8422,4.2682,-6.749,6.2798e-08,2.1398e-05,8.2106,ABCA8,ATP binding cassette subfamily A member 8
25902,1.9394,3.8669,6.7484,6.2917e-08,2.1398e-05,8.2088,MTHFD1L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
6282,1.5387,6.9522,6.7117,7.0442e-08,2.3469e-05,8.1013,S100A11,S100 calcium binding protein A11
4653,-5.048,-0.27209,-6.6989,7.3273e-08,2.3924e-05,8.0638,MYOC,myocilin
8614,3.4459,2.526,6.6846,7.6585e-08,2.4044e-05,8.0217,STC2,stanniocalcin 2
388364,-5.1404,4.7019,-6.6846,7.6589e-08,2.4044e-05,8.0216,TMIGD1,transmembrane and immunoglobulin domain containing 1
55198,-1.3248,6.8524,-6.6759,7.8663e-08,2.423e-05,7.9962,APPL2,"""adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"""
51228,-1.2285,6.1039,-6.6607,8.2429e-08,2.4587e-05,7.9516,GLTP,glycolipid transfer protein
137075,-2.2157,6.0003,-6.6591,8.2834e-08,2.4587e-05,7.947,CLDN23,claudin 23
283212,2.0733,0.34123,6.6496,8.5307e-08,2.4869e-05,7.919,KLHL35,kelch like family member 35
5145,-2.867,2.1169,-6.611,9.6099e-08,2.6257e-05,7.8055,PDE6A,phosphodiesterase 6A
206358,-1.5675,6.2592,-6.6096,9.6507e-08,2.6257e-05,7.8015,SLC36A1,solute carrier family 36 member 1
759,-5.0691,7.2705,-6.6071,9.7245e-08,2.6257e-05,7.7942,CA1,carbonic anhydrase 1
25994,-1.3173,7.8013,-6.6057,9.7693e-08,2.6257e-05,7.7899,HIGD1A,HIG1 hypoxia inducible domain family member 1A
23213,2.3122,6.5004,6.6009,9.9128e-08,2.6257e-05,7.776,SULF1,sulfatase 1
143458,1.5279,2.7156,6.5985,9.988e-08,2.6257e-05,7.7688,LDLRAD3,low density lipoprotein receptor class A domain containing 3
84888,-1.2937,6.5966,-6.5909,1.0223e-07,2.6257e-05,7.7466,SPPL2A,signal peptide peptidase like 2A
9340,-2.7325,2.3786,-6.5887,1.0294e-07,2.6257e-05,7.74,GLP2R,glucagon like peptide 2 receptor
2517,-1.4157,7.3011,-6.583,1.0476e-07,2.6312e-05,7.7233,FUCA1,alpha-L-fucosidase 1
23495,-3.0142,2.0281,-6.5765,1.0689e-07,2.6326e-05,7.7042,TNFRSF13B,TNF receptor superfamily member 13B
6445,-3.5326,-2.0782,-6.573,1.0805e-07,2.6326e-05,7.6939,SGCG,sarcoglycan gamma
6518,-1.4347,2.7846,-6.558,1.1318e-07,2.7089e-05,7.6497,SLC2A5,solute carrier family 2 member 5
246213,-3.8166,-0.67326,-6.5536,1.1475e-07,2.7089e-05,7.6366,SLC17A8,solute carrier family 17 member 8
4312,4.0914,3.0704,6.5496,1.1616e-07,2.7089e-05,7.625,MMP1,matrix metallopeptidase 1
79085,-1.0479,7.2857,-6.53,1.234e-07,2.8374e-05,7.5673,SLC25A23,solute carrier family 25 member 23
762,-4.2908,6.295,-6.5181,1.2804e-07,2.8433e-05,7.5322,CA4,carbonic anhydrase 4
286133,-3.4788,5.0456,-6.5166,1.2865e-07,2.8433e-05,7.5277,SCARA5,scavenger receptor class A member 5
57699,-1.3253,4.0114,-6.516,1.2889e-07,2.8433e-05,7.5259,CPNE5,copine 5
56159,-2.7092,0.86953,-6.505,1.3333e-07,2.8646e-05,7.4936,TEX11,testis expressed 11
9211,-2.6914,0.47729,-6.5049,1.3336e-07,2.8646e-05,7.4934,LGI1,leucine rich glioma inactivated 1
54805,-1.3631,5.5976,-6.493,1.3835e-07,2.9332e-05,7.4584,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2
51330,2.1862,4.3172,6.4866,1.4114e-07,2.954e-05,7.4394,TNFRSF12A,TNF receptor superfamily member 12A
10050,-3.2408,4.4655,-6.4807,1.4375e-07,2.9548e-05,7.4219,SLC17A4,solute carrier family 17 member 4
147093,-3.2646,-1.1793,-6.4759,1.4587e-07,2.9548e-05,7.408,LINC00974,long intergenic non-protein coding RNA 974
140738,-1.9835,5.4445,-6.4681,1.4944e-07,2.9548e-05,7.385,TMEM37,transmembrane protein 37
3576,3.4351,3.5636,6.4651,1.5084e-07,2.9548e-05,7.376,CXCL8,C-X-C motif chemokine ligand 8
341116,-2.4594,-1.4803,-6.4626,1.5202e-07,2.9548e-05,7.3686,MS4A10,membrane spanning 4-domains A10
248,-3.4252,3.2419,-6.4591,1.5365e-07,2.9548e-05,7.3584,ALPI,"""alkaline phosphatase, intestinal"""
8767,1.2174,3.551,6.4587,1.5385e-07,2.9548e-05,7.3572,RIPK2,receptor interacting serine/threonine kinase 2
100507210,-3.2659,-1.5877,-6.4461,1.5997e-07,3.0067e-05,7.3201,LINC02000,long intergenic non-protein coding RNA 2000
760,-3.7494,8.1377,-6.4456,1.6023e-07,3.0067e-05,7.3185,CA2,carbonic anhydrase 2
9314,-2.2247,7.6416,-6.428,1.6918e-07,3.1385e-05,7.2667,KLF4,Kruppel like factor 4
283420,-1.8724,-0.8222,-6.4159,1.7567e-07,3.1597e-05,7.2308,CLEC9A,C-type lectin domain containing 9A
3570,-1.7423,5.5304,-6.4156,1.7579e-07,3.1597e-05,7.2302,IL6R,interleukin 6 receptor
100170841,2.5181,0.91672,6.4144,1.7646e-07,3.1597e-05,7.2266,EPOP,elongin BC and polycomb repressive complex 2 associated protein
8736,-2.493,2.9562,-6.4085,1.7974e-07,3.1597e-05,7.209,MYOM1,myomesin 1
7360,-1.3632,7.9146,-6.4057,1.8128e-07,3.1597e-05,7.2009,UGP2,UDP-glucose pyrophosphorylase 2
22953,-2.9123,-2.0643,-6.4045,1.8194e-07,3.1597e-05,7.1974,P2RX2,purinergic receptor P2X 2
9127,-2.0783,-0.51699,-6.3951,1.8735e-07,3.1743e-05,7.1695,P2RX6,purinergic receptor P2X 6
1282,2.1891,7.9885,6.3949,1.8744e-07,3.1743e-05,7.1691,COL4A1,collagen type IV alpha 1 chain
284723,-1.9605,2.4936,-6.3924,1.889e-07,3.1743e-05,7.1617,SLC25A34,solute carrier family 25 member 34
159371,-1.3084,4.0815,-6.3896,1.9056e-07,3.1743e-05,7.1533,SLC35G1,solute carrier family 35 member G1
270,-3.1933,0.81053,-6.3685,2.0346e-07,3.3215e-05,7.0909,AMPD1,adenosine monophosphate deaminase 1
2191,2.9256,1.9678,6.3521,2.1407e-07,3.4262e-05,7.0425,FAP,fibroblast activation protein alpha
80157,-3.7947,3.6662,-6.3485,2.1647e-07,3.431e-05,7.0318,CWH43,cell wall biogenesis 43 C-terminal homolog
51645,1.0265,4.3515,6.3438,2.1963e-07,3.4476e-05,7.018,PPIL1,peptidylprolyl isomerase like 1
162514,-2.3916,2.6478,-6.3366,2.2459e-07,3.464e-05,6.9967,TRPV3,transient receptor potential cation channel subfamily V member 3
27299,-3.1287,6.8527,-6.3361,2.2492e-07,3.464e-05,6.9953,ADAMDEC1,ADAM like decysin 1
100128006,-2.3044,-0.43921,-6.3309,2.2857e-07,3.468e-05,6.98,LOC100128006,uncharacterized LOC100128006
101928311,-2.3024,-3.4608,-6.3297,2.2943e-07,3.468e-05,6.9764,LINC01668,long intergenic non-protein coding RNA 1668
115908,2.9517,2.7232,6.3223,2.3477e-07,3.4749e-05,6.9545,CTHRC1,collagen triple helix repeat containing 1
57214,2.5686,4.2421,6.3205,2.3606e-07,3.4749e-05,6.9493,CEMIP,cell migration inducing hyaluronidase 1
23140,-1.1673,7.4081,-6.3183,2.3769e-07,3.4749e-05,6.9427,ZZEF1,zinc finger ZZ-type and EF-hand domain containing 1
79154,-2.0004,5.5708,-6.3127,2.4187e-07,3.4749e-05,6.9261,DHRS11,dehydrogenase/reductase 11
6584,-1.4353,5.6507,-6.3117,2.426e-07,3.4749e-05,6.9232,SLC22A5,solute carrier family 22 member 5
192666,-5.034,0.36437,-6.3112,2.4302e-07,3.4749e-05,6.9216,KRT24,keratin 24
1237,2.4204,-2.0075,6.3088,2.4479e-07,3.4749e-05,6.9147,CCR8,C-C motif chemokine receptor 8
5954,1.1652,7.2231,6.3009,2.5087e-07,3.5156e-05,6.8913,RCN1,reticulocalbin 1
3248,-2.514,6.421,-6.2968,2.5411e-07,3.5156e-05,6.879,HPGD,15-hydroxyprostaglandin dehydrogenase
5593,-2.2062,2.046,-6.288,2.6109e-07,3.5519e-05,6.8532,PRKG2,protein kinase cGMP-dependent 2
1811,-3.993,9.1834,-6.2849,2.6363e-07,3.5568e-05,6.844,SLC26A3,solute carrier family 26 member 3
338094,-1.7237,1.8566,-6.2737,2.7299e-07,3.585e-05,6.8108,FAM151A,family with sequence similarity 151 member A
100188953,-1.8141,-0.65536,-6.2719,2.745e-07,3.585e-05,6.8055,LINC00092,long intergenic non-protein coding RNA 92
80022,-1.1843,8.1845,-6.2713,2.7497e-07,3.585e-05,6.8039,MYO15B,myosin XVB
6547,-1.83,-0.79975,-6.2713,2.7501e-07,3.585e-05,6.8037,SLC8A3,solute carrier family 8 member A3
11075,-2.6542,3.2402,-6.269,2.7695e-07,3.585e-05,6.797,STMN2,stathmin 2
26228,-1.9149,0.44368,-6.2668,2.789e-07,3.585e-05,6.7904,STAP1,signal transducing adaptor family member 1
493869,1.4912,3.4548,6.2592,2.8551e-07,3.5937e-05,6.768,GPX8,glutathione peroxidase 8 (putative)
9099,-2.8647,2.9747,-6.257,2.8743e-07,3.5937e-05,6.7616,USP2,ubiquitin specific peptidase 2
123264,-2.6712,4.1607,-6.256,2.8838e-07,3.5937e-05,6.7585,SLC51B,solute carrier family 51 subunit beta
27253,1.4637,2.6439,6.2501,2.9373e-07,3.604e-05,6.7409,PCDH17,protocadherin 17
100996348,-2.3625,-0.20103,-6.2496,2.9412e-07,3.604e-05,6.7397,CA3-AS1,CA3 antisense RNA 1
55083,2.5509,0.7009,6.2478,2.9582e-07,3.604e-05,6.7342,KIF26B,kinesin family member 26B
116511,-3.1999,-2.9348,-6.2426,3.0065e-07,3.6356e-05,6.7188,MAS1L,"""MAS1 proto-oncogene like, G protein-coupled receptor"""
705,1.1716,4.0976,6.239,3.0399e-07,3.649e-05,6.7082,BYSL,bystin like
2980,-4.2718,6.1047,-6.2293,3.1323e-07,3.7325e-05,6.6797,GUCA2A,guanylate cyclase activator 2A
5745,-1.8989,0.58371,-6.224,3.1845e-07,3.7672e-05,6.6639,PTH1R,parathyroid hormone 1 receptor
3857,-2.7714,-1.953,-6.221,3.2141e-07,3.7748e-05,6.6551,KRT9,keratin 9
80329,1.4907,-0.042425,6.2129,3.2959e-07,3.8232e-05,6.6312,ULBP1,UL16 binding protein 1
4322,3.1017,-2.713,6.2101,3.3255e-07,3.8232e-05,6.6226,MMP13,matrix metallopeptidase 13
5333,-1.5507,5.5553,-6.207,3.3575e-07,3.8307e-05,6.6135,PLCD1,phospholipase C delta 1
124590,-2.0699,-2.2281,-6.2028,3.4009e-07,3.8307e-05,6.6013,USH1G,USH1 protein network component sans
92092,1.2608,2.4396,6.2017,3.4126e-07,3.8307e-05,6.598,ZC3HAV1L,"""zinc finger CCCH-type containing, antiviral 1 like"""
338645,-2.1882,0.68086,-6.2005,3.426e-07,3.8307e-05,6.5943,LUZP2,leucine zipper protein 2
6781,2.2307,2.2298,6.1931,3.5057e-07,3.8932e-05,6.5724,STC1,stanniocalcin 1
28231,2.383,4.3086,6.1857,3.5864e-07,3.9243e-05,6.5506,SLCO4A1,solute carrier organic anion transporter family member 4A1
288,-1.3494,5.8342,-6.1835,3.6118e-07,3.9243e-05,6.5439,ANK3,ankyrin 3
5008,2.6954,1.0347,6.1813,3.6367e-07,3.9243e-05,6.5374,OSM,oncostatin M
284346,-1.7099,2.8472,-6.1797,3.6538e-07,3.9243e-05,6.5329,ZNF575,zinc finger protein 575
35,-1.6105,6.7914,-6.1746,3.7132e-07,3.947e-05,6.5175,ACADS,acyl-CoA dehydrogenase short chain
221527,1.1834,1.0247,6.1737,3.7234e-07,3.947e-05,6.5149,ZBTB12,zinc finger and BTB domain containing 12
728463,2.1591,-3.09,6.1714,3.7499e-07,3.9495e-05,6.5082,TGFB2-AS1,TGFB2 antisense RNA 1 (head to head)
84259,1.0245,4.1919,6.1589,3.8986e-07,4.0555e-05,6.4711,DCUN1D5,defective in cullin neddylation 1 domain containing 5
23302,-2.2629,4.7069,-6.1587,3.9002e-07,4.0555e-05,6.4707,WSCD1,WSC domain containing 1
8110,-1.8821,2.5362,-6.1522,3.9801e-07,4.1124e-05,6.4514,DPF3,double PHD fingers 3
7123,-2.5172,4.6354,-6.1476,4.0375e-07,4.1454e-05,6.4377,CLEC3B,C-type lectin domain family 3 member B
51059,-2.4616,0.30023,-6.1395,4.14e-07,4.2241e-05,6.4138,FAM135B,family with sequence similarity 135 member B
366,2.1418,0.96195,6.1345,4.2051e-07,4.2639e-05,6.3989,AQP9,aquaporin 9
7851,-1.8159,7.6938,-6.1202,4.3962e-07,4.4301e-05,6.3566,MALL,"""mal, T cell differentiation protein like"""
317649,-1.3289,5.2218,-6.1063,4.5911e-07,4.5981e-05,6.3152,EIF4E3,eukaryotic translation initiation factor 4E family member 3
8671,-3.6505,6.2613,-6.0992,4.6922e-07,4.6708e-05,6.2945,SLC4A4,solute carrier family 4 member 4
1295,1.974,4.0884,6.0971,4.724e-07,4.6739e-05,6.288,COL8A1,collagen type VIII alpha 1 chain
596,-1.5085,4.6958,-6.0931,4.7829e-07,4.7036e-05,6.2762,BCL2,BCL2 apoptosis regulator
154661,-1.6777,2.1719,-6.0786,5.0031e-07,4.8374e-05,6.2333,RUNDC3B,RUN domain containing 3B
813,1.1338,6.9622,6.0783,5.0078e-07,4.8374e-05,6.2324,CALU,calumenin
137392,1.3376,3.219,6.0743,5.0706e-07,4.8619e-05,6.2205,FAM92A,family with sequence similarity 92 member A
54793,-1.046,5.725,-6.0721,5.1055e-07,4.8619e-05,6.214,KCTD9,potassium channel tetramerization domain containing 9
23136,-2.1285,5.8337,-6.071,5.1225e-07,4.8619e-05,6.2108,EPB41L3,erythrocyte membrane protein band 4.1 like 3
10239,-1.0551,5.9087,-6.0652,5.2164e-07,4.8923e-05,6.1935,AP3S2,adaptor related protein complex 3 subunit sigma 2
140803,-3.1498,5.6299,-6.0616,5.2745e-07,4.8923e-05,6.183,TRPM6,transient receptor potential cation channel subfamily M member 6
11251,-1.8913,2.4777,-6.0614,5.2787e-07,4.8923e-05,6.1822,PTGDR2,prostaglandin D2 receptor 2
2053,-1.3176,6.4645,-6.0598,5.3044e-07,4.8923e-05,6.1776,EPHX2,epoxide hydrolase 2
253982,1.6002,1.9968,6.0554,5.3776e-07,4.9214e-05,6.1645,ASPHD1,aspartate beta-hydroxylase domain containing 1
80031,-2.0827,4.6047,-6.0543,5.3962e-07,4.9214e-05,6.1612,SEMA6D,semaphorin 6D
2906,3.3593,1.8809,6.0467,5.5255e-07,5.0113e-05,6.1386,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D
4188,2.4956,2.0815,6.0405,5.6324e-07,5.0435e-05,6.1204,MDFI,MyoD family inhibitor
27163,-1.6461,6.0558,-6.0396,5.6478e-07,5.0435e-05,6.1178,NAAA,N-acylethanolamine acid amidase
51196,-1.5406,6.1732,-6.0389,5.6611e-07,5.0435e-05,6.1155,PLCE1,phospholipase C epsilon 1
1675,-2.7053,4.9731,-6.0375,5.6846e-07,5.0435e-05,6.1116,CFD,complement factor D
646892,-3.0302,0.35594,-6.0325,5.7743e-07,5.0954e-05,6.0967,SH2D7,SH2 domain containing 7
6615,1.9558,1.216,6.025,5.9108e-07,5.1434e-05,6.0744,SNAI1,snail family transcriptional repressor 1
2651,-2.3816,3.0107,-6.0243,5.9231e-07,5.1434e-05,6.0724,GCNT2,glucosaminyl (N-acetyl) transferase 2 (I blood group)
283316,-2.1622,5.199,-6.0214,5.9777e-07,5.1524e-05,6.0637,CD163L1,CD163 molecule like 1
1290,1.6529,7.0767,6.0204,5.9967e-07,5.1524e-05,6.0606,COL5A2,collagen type V alpha 2 chain
1300,5.2286,0.28042,6.0062,6.2671e-07,5.3263e-05,6.0186,COL10A1,collagen type X alpha 1 chain
5570,-2.6659,4.9312,-6.0046,6.2969e-07,5.3263e-05,6.0141,PKIB,cAMP-dependent protein kinase inhibitor beta
284217,-2.7104,4.0673,-5.9984,6.4211e-07,5.4033e-05,5.9954,LAMA1,laminin subunit alpha 1
4601,-1.1854,6.1665,-5.993,6.529e-07,5.4651e-05,5.9795,MXI1,"""MAX interactor 1, dimerization protein"""
29923,1.7516,3.5301,5.9899,6.592e-07,5.4651e-05,5.9704,HILPDA,hypoxia inducible lipid droplet associated
60495,-2.2316,1.4505,-5.9863,6.6663e-07,5.4651e-05,5.9597,HPSE2,heparanase 2 (inactive)
144501,4.5159,1.0773,5.9861,6.6712e-07,5.4651e-05,5.959,KRT80,keratin 80
4314,4.0885,1.3568,5.9849,6.6953e-07,5.4651e-05,5.9556,MMP3,matrix metallopeptidase 3
38,-1.1015,6.8393,-5.9807,6.7841e-07,5.51e-05,5.943,ACAT1,acetyl-CoA acetyltransferase 1
651746,-1.2162,2.5372,-5.9731,6.9459e-07,5.5949e-05,5.9205,ANKRD33B,ankyrin repeat domain 33B
27165,1.7793,0.49118,5.9726,6.9572e-07,5.5949e-05,5.919,GLS2,glutaminase 2
3714,1.3699,4.8578,5.9695,7.024e-07,5.621e-05,5.9099,JAG2,jagged canonical Notch ligand 2
6691,-3.6151,-0.62968,-5.9662,7.0975e-07,5.652e-05,5.9,SPINK2,serine peptidase inhibitor Kazal type 2
7102,-1.7356,6.0016,-5.9612,7.2078e-07,5.6852e-05,5.8853,TSPAN7,tetraspanin 7
5420,1.0343,6.0776,5.9591,7.2548e-07,5.694e-05,5.8791,PODXL,podocalyxin like
51043,-1.0467,7.5835,-5.9531,7.3926e-07,5.7743e-05,5.8611,ZBTB7B,zinc finger and BTB domain containing 7B
101929639,-1.4523,0.71234,-5.946,7.5577e-07,5.8487e-05,5.8401,B4GALT1-AS1,B4GALT1 antisense RNA 1
54860,-4.5161,6.4361,-5.9459,7.5595e-07,5.8487e-05,5.8398,MS4A12,membrane spanning 4-domains A12
283487,1.7484,1.5173,5.94,7.7007e-07,5.9299e-05,5.8222,LINC00346,long intergenic non-protein coding RNA 346
125058,1.093,5.9698,5.9383,7.741e-07,5.933e-05,5.8172,TBC1D16,TBC1 domain family member 16
2767,-1.0426,8.4325,-5.9314,7.9092e-07,6.0335e-05,5.7967,GNA11,G protein subunit alpha 11
8516,-1.2002,3.7846,-5.9238,8.0967e-07,6.1011e-05,5.7744,ITGA8,integrin subunit alpha 8
102724153,-3.5906,0.77764,-5.9222,8.1374e-07,6.1011e-05,5.7696,LOC102724153,uncharacterized LOC102724153
10349,-2.0569,2.0534,-5.9219,8.1468e-07,6.1011e-05,5.7685,ABCA10,ATP binding cassette subfamily A member 10
57670,1.7102,3.4795,5.9218,8.1473e-07,6.1011e-05,5.7685,KIAA1549,KIAA1549
285242,-3.228,-2.0229,-5.9182,8.2402e-07,6.1255e-05,5.7577,HTR3E,5-hydroxytryptamine receptor 3E
84803,-2.1282,4.2207,-5.9176,8.2548e-07,6.1255e-05,5.756,GPAT3,glycerol-3-phosphate acyltransferase 3
54210,2.6678,0.47071,5.9109,8.4285e-07,6.226e-05,5.7361,TREM1,triggering receptor expressed on myeloid cells 1
1301,3.6827,2.3747,5.9054,8.5742e-07,6.3051e-05,5.7198,COL11A1,collagen type XI alpha 1 chain
25840,-1.8062,6.6254,-5.8986,8.7572e-07,6.3656e-05,5.6996,METTL7A,methyltransferase like 7A
84962,1.8958,3.2962,5.8982,8.7705e-07,6.3656e-05,5.6982,AJUBA,ajuba LIM protein
1030,-2.5048,6.4276,-5.8975,8.7885e-07,6.3656e-05,5.6962,CDKN2B,cyclin dependent kinase inhibitor 2B
57016,-3.2672,5.0402,-5.8966,8.8124e-07,6.3656e-05,5.6936,AKR1B10,aldo-keto reductase family 1 member B10
27123,3.9599,-0.53106,5.8933,8.9045e-07,6.376e-05,5.6837,DKK2,dickkopf WNT signaling pathway inhibitor 2
80727,1.2303,7.022,5.8933,8.9049e-07,6.376e-05,5.6837,TTYH3,tweety family member 3
23052,-1.2646,6.8853,-5.8877,9.0612e-07,6.4596e-05,5.6671,ENDOD1,endonuclease domain containing 1
8647,-3.2565,-0.53457,-5.8847,9.1446e-07,6.4626e-05,5.6584,ABCB11,ATP binding cassette subfamily B member 11
389658,3.2066,-0.5735,5.8827,9.203e-07,6.4758e-05,5.6523,ALKAL1,ALK and LTK ligand 1
646627,-3.7114,6.4984,-5.8782,9.3325e-07,6.5388e-05,5.639,LYPD8,LY6/PLAUR domain containing 8
10799,1.1573,2.1677,5.8711,9.5418e-07,6.6301e-05,5.6178,RPP40,ribonuclease P/MRP subunit p40
115584,-3.115,-1.0238,-5.8704,9.5611e-07,6.6301e-05,5.6159,SLC5A11,solute carrier family 5 member 11
5366,1.3834,2.5414,5.8692,9.5961e-07,6.6301e-05,5.6124,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1
5023,-1.7341,3.1249,-5.8676,9.6441e-07,6.6301e-05,5.6077,P2RX1,purinergic receptor P2X 1
54857,-2.8097,2.7399,-5.8663,9.6858e-07,6.6301e-05,5.6036,GDPD2,glycerophosphodiester phosphodiesterase domain containing 2
399888,-2.3739,-1.9897,-5.8656,9.7066e-07,6.6301e-05,5.6015,FAM180B,family with sequence similarity 180 member B
22849,-1.033,3.2298,-5.8635,9.7701e-07,6.6457e-05,5.5953,CPEB3,cytoplasmic polyadenylation element binding protein 3
575,-1.4069,1.0194,-5.8586,9.9181e-07,6.7089e-05,5.581,ADGRB1,adhesion G protein-coupled receptor B1
57477,1.4187,4.1037,5.8578,9.9452e-07,6.7089e-05,5.5784,SHROOM4,shroom family member 4
80323,-1.8782,4.7737,-5.8526,1.0107e-06,6.7728e-05,5.563,CCDC68,coiled-coil domain containing 68
633,2.4107,5.8546,5.8504,1.0175e-06,6.78e-05,5.5566,BGN,biglycan
5368,-2.079,0.56276,-5.8485,1.0237e-06,6.7933e-05,5.5508,PNOC,prepronociceptin
